Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,702800,-,-,-,32.77,-96.78,-6,148,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,Dew Point,Relative Humidity,Wind Speed
2013,1,1,0,30,5.5,0,5.2,97.78,2.7
2013,1,1,1,30,5.2,0,4.9,97.91,2.7
2013,1,1,2,30,4.9,0,4.5,97.55,2.8000000000000003
2013,1,1,3,30,4.4,0,4.2,98.32000000000001,3
2013,1,1,4,30,4,0,3.7,97.88,3.1
2013,1,1,5,30,3.5,0,3.2,97.74000000000001,3.3000000000000003
2013,1,1,6,30,3.1,0,2.6,96.61,3.3000000000000003
2013,1,1,7,30,3,0,2.1,93.85000000000001,3.6
2013,1,1,8,30,3.4000000000000004,24,1.8,89.10000000000001,3.9000000000000004
2013,1,1,9,30,4.3,12,1.8,83.71000000000001,4.2
2013,1,1,10,30,5.300000000000001,81,2,79.05,4.3
2013,1,1,11,30,6.2,158,1.7000000000000002,72.99,4.3
2013,1,1,12,30,7.2,173,1.1,65.31,4.4
2013,1,1,13,30,7.9,218,0.5,59.68,4.5
2013,1,1,14,30,7.9,92,0,57.410000000000004,4.5
2013,1,1,15,30,7.1000000000000005,79,-0.5,58.300000000000004,4.3
2013,1,1,16,30,5,23,-1,65.26,3.4000000000000004
2013,1,1,17,30,2.9000000000000004,0,-1,75.47,2.7
2013,1,1,18,30,2,0,-1.4000000000000001,78.2,2.9000000000000004
2013,1,1,19,30,1.3,0,-1.7000000000000002,80.31,2.8000000000000003
2013,1,1,20,30,0.6000000000000001,0,-1.9000000000000001,83.14,2.4000000000000004
2013,1,1,21,30,-0.1,0,-2.1,86.46000000000001,2
2013,1,1,22,30,-0.6000000000000001,0,-2.4000000000000004,87.86,2
2013,1,1,23,30,-0.7000000000000001,0,-2.6,86.82000000000001,2.2
