Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,560977,-,-,-,32.01,-102.06,-6,841,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Dew Point,Wind Speed,GHI
2015,1,1,0,30,-4.2,81.36,-6.9,1.9000000000000001,0
2015,1,1,1,30,-4.1000000000000005,82.28,-6.7,2,0
2015,1,1,2,30,-3.9000000000000004,82.58,-6.4,2.1,0
2015,1,1,3,30,-3.8000000000000003,83.83,-6.1000000000000005,2.3000000000000003,0
2015,1,1,4,30,-3.7,84.89,-5.9,2.5,0
2015,1,1,5,30,-3.5,85.2,-5.6000000000000005,2.2,0
2015,1,1,6,30,-3.4000000000000004,85.96000000000001,-5.4,1.8,0
2015,1,1,7,30,-3.2,85.59,-5.300000000000001,2,0
2015,1,1,8,30,-2.8000000000000003,84.12,-5.1000000000000005,2,16
2015,1,1,9,30,-2.3000000000000003,82.77,-4.800000000000001,1.6,43
2015,1,1,10,30,-1.7000000000000002,81.18,-4.5,1.5,99
2015,1,1,11,30,-1.3,80.71000000000001,-4.2,1.4000000000000001,137
2015,1,1,12,30,-1,80.26,-4,1.2000000000000002,217
2015,1,1,13,30,-1,80.97,-3.9000000000000004,1.2000000000000002,177
2015,1,1,14,30,-1.1,81.86,-3.8000000000000003,1.3,335
2015,1,1,15,30,-1.2000000000000002,82.22,-3.8000000000000003,1.3,73
2015,1,1,16,30,-1.4000000000000001,82.9,-3.9000000000000004,1.2000000000000002,66
2015,1,1,17,30,-1.8,84.56,-4.1000000000000005,1.3,13
2015,1,1,18,30,-2.2,86.02,-4.2,1.4000000000000001,0
2015,1,1,19,30,-2.5,86.73,-4.4,1.4000000000000001,0
2015,1,1,20,30,-2.7,86.94,-4.6000000000000005,1.4000000000000001,0
2015,1,1,21,30,-2.8000000000000003,86.79,-4.7,1.3,0
2015,1,1,22,30,-2.7,85.98,-4.7,0.8,0
2015,1,1,23,30,-2.7,86.11,-4.7,0.6000000000000001,0
2015,1,2,0,30,-2.7,86.21000000000001,-4.7,0.9,0
2015,1,2,1,30,-2.8000000000000003,86.96000000000001,-4.7,1.3,0
2015,1,2,2,30,-2.7,86.35000000000001,-4.7,1.5,0
2015,1,2,3,30,-2.6,85.9,-4.6000000000000005,1.6,0
2015,1,2,4,30,-2.6,86.29,-4.6000000000000005,1.7000000000000002,0
2015,1,2,5,30,-2.5,85.78,-4.6000000000000005,1.8,0
2015,1,2,6,30,-2.5,85.77,-4.6000000000000005,1.8,0
2015,1,2,7,30,-2.3000000000000003,84.74,-4.5,2.2,0
2015,1,2,8,30,-1.6,81.60000000000001,-4.3,2.6,15
2015,1,2,9,30,-0.6000000000000001,77.8,-4,3,4
2015,1,2,10,30,0.4,75.23,-3.5,3,19
2015,1,2,11,30,1.1,75.15,-2.8000000000000003,2.7,31
2015,1,2,12,30,1.3,77.65,-2.2,2.3000000000000003,96
2015,1,2,13,30,1.3,79.86,-1.8,2.2,67
2015,1,2,14,30,1.2000000000000002,81.56,-1.6,2.1,22
2015,1,2,15,30,0.8,84.72,-1.5,2,101
2015,1,2,16,30,0.2,88.47,-1.5,1.9000000000000001,38
2015,1,2,17,30,-0.6000000000000001,93.46000000000001,-1.5,1.5,7
2015,1,2,18,30,-1.4000000000000001,97.15,-1.8,1.1,0
2015,1,2,19,30,-2.2,98.53,-2.4000000000000004,1.2000000000000002,0
2015,1,2,20,30,-2.5,96.29,-3,1.1,0
2015,1,2,21,30,-2.4000000000000004,94.89,-3.1,0.7000000000000001,0
2015,1,2,22,30,-2.5,97.04,-2.9000000000000004,0.7000000000000001,0
2015,1,2,23,30,-2.6,95.24,-3.3000000000000003,1.3,0
2015,1,3,0,30,-2.6,95.98,-3.2,1.7000000000000002,0
2015,1,3,1,30,-3,98.84,-3.2,1.9000000000000001,0
2015,1,3,2,30,-3.7,99.7,-3.7,1.8,0
2015,1,3,3,30,-4.3,98.91,-4.4,2,0
2015,1,3,4,30,-4.4,96.73,-4.800000000000001,2.4000000000000004,0
2015,1,3,5,30,-4,95.4,-4.6000000000000005,3.2,0
2015,1,3,6,30,-3.8000000000000003,97.17,-4.2,4,0
2015,1,3,7,30,-3.7,95.05,-4.4,4.5,0
2015,1,3,8,30,-2.6,87.87,-4.3,5.4,95
2015,1,3,9,30,-0.5,82.41,-3.1,6.2,280
2015,1,3,10,30,1.2000000000000002,80.99,-1.7000000000000002,6.5,447
2015,1,3,11,30,2.4000000000000004,77.4,-1.2000000000000002,6.4,569
2015,1,3,12,30,3.5,72.46000000000001,-1,6.4,630
2015,1,3,13,30,4.6000000000000005,66.81,-1,6.2,626
2015,1,3,14,30,5.300000000000001,63.08,-1.2000000000000002,5.6000000000000005,552
2015,1,3,15,30,5.300000000000001,63.440000000000005,-1.1,4.7,420
2015,1,3,16,30,3.6,72.42,-0.9,3.5,243
2015,1,3,17,30,1.1,83.48,-1.4000000000000001,2.7,56
2015,1,3,18,30,-0.30000000000000004,81.78,-3,2.6,0
