Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,560977,-,-,-,32.01,-102.06,-6,841,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Dew Point,Wind Speed,GHI
2013,1,1,0,30,2.4000000000000004,59.480000000000004,-4.7,2.5,0
2013,1,1,1,30,1.7000000000000002,62.92,-4.6000000000000005,2.2,0
2013,1,1,2,30,0.9,67.33,-4.5,1.7000000000000002,0
2013,1,1,3,30,0,73.2,-4.2,1.5,0
2013,1,1,4,30,-1,80.55,-3.9000000000000004,1.4000000000000001,0
2013,1,1,5,30,-2.2,89.31,-3.7,1.5,0
2013,1,1,6,30,-3.1,95.78,-3.7,1.7000000000000002,0
2013,1,1,7,30,-3.1,94.78,-3.8000000000000003,2.3000000000000003,0
2013,1,1,8,30,-1.6,82.62,-4.2,2.8000000000000003,55
2013,1,1,9,30,0.5,67.22,-4.9,2.5,127
2013,1,1,10,30,2.6,57.21,-5,1.8,285
2013,1,1,11,30,4.6000000000000005,50.26,-4.9,1.4000000000000001,474
2013,1,1,12,30,6.5,44.64,-4.7,1.7000000000000002,623
2013,1,1,13,30,8.1,39.04,-5,2.2,630
2013,1,1,14,30,8.700000000000001,35.61,-5.7,2.4000000000000004,462
2013,1,1,15,30,8.3,35.46,-6.1000000000000005,2.2,411
2013,1,1,16,30,6.300000000000001,40.01,-6.300000000000001,1.5,238
2013,1,1,17,30,3.6,53.410000000000004,-5,1.2000000000000002,33
2013,1,1,18,30,2.1,57.01,-5.5,1.6,0
2013,1,1,19,30,1.5,58.34,-5.800000000000001,2.2,0
2013,1,1,20,30,0.7000000000000001,60.92,-6,2.5,0
2013,1,1,21,30,-0.2,64.56,-6.1000000000000005,2.1,0
2013,1,1,22,30,-1.1,68.11,-6.2,1.6,0
2013,1,1,23,30,-1.5,69.46000000000001,-6.4,1.4000000000000001,0
2013,1,2,0,30,-1.9000000000000001,70.87,-6.5,1.2000000000000002,0
2013,1,2,1,30,-2.4000000000000004,72.93,-6.6000000000000005,0.9,0
2013,1,2,2,30,-2.7,74.05,-6.7,0.8,0
2013,1,2,3,30,-2.8000000000000003,74.31,-6.7,0.7000000000000001,0
2013,1,2,4,30,-2.8000000000000003,74.25,-6.7,0.6000000000000001,0
2013,1,2,5,30,-2.7,73.74,-6.7,0.6000000000000001,0
2013,1,2,6,30,-2.6,73.31,-6.7,0.5,0
2013,1,2,7,30,-2.1,70.82000000000001,-6.7,0.5,0
2013,1,2,8,30,-0.4,63.160000000000004,-6.6000000000000005,0.6000000000000001,58
2013,1,2,9,30,2.1,53.620000000000005,-6.300000000000001,0.9,246
2013,1,2,10,30,4.9,45.21,-6,1.2000000000000002,387
2013,1,2,11,30,7.300000000000001,37.02,-6.4,1.6,513
2013,1,2,12,30,9,31.1,-7.2,1.8,635
2013,1,2,13,30,9.700000000000001,29.35,-7.300000000000001,1.9000000000000001,627
2013,1,2,14,30,9.9,28.89,-7.4,1.8,552
2013,1,2,15,30,9.600000000000001,29.43,-7.4,1.4000000000000001,418
2013,1,2,16,30,8,33.25,-7.2,0.9,241
2013,1,2,17,30,5.7,43.52,-5.800000000000001,0.8,54
2013,1,2,18,30,3.7,46.24,-6.800000000000001,1.1,0
2013,1,2,19,30,2,51.58,-6.9,1.3,0
2013,1,2,20,30,0.8,55.2,-7.2,1.4000000000000001,0
2013,1,2,21,30,-0.2,58.77,-7.300000000000001,1.4000000000000001,0
2013,1,2,22,30,-1.1,63.03,-7.2,1.3,0
2013,1,2,23,30,-1.9000000000000001,68.04,-7,1.2000000000000002,0
2013,1,3,0,30,-2.6,72.89,-6.800000000000001,1.1,0
2013,1,3,1,30,-3,75.93,-6.6000000000000005,1.1,0
2013,1,3,2,30,-3.4000000000000004,78.71000000000001,-6.6000000000000005,1.1,0
2013,1,3,3,30,-3.9000000000000004,81.86,-6.5,1.3,0
2013,1,3,4,30,-4,82.35000000000001,-6.6000000000000005,1.5,0
2013,1,3,5,30,-3.4000000000000004,78.37,-6.6000000000000005,2.2,0
2013,1,3,6,30,-2.6,73.41,-6.7,3,0
2013,1,3,7,30,-2.1,70.4,-6.800000000000001,3.4000000000000004,0
2013,1,3,8,30,-1,65.26,-6.7,3.4000000000000004,19
2013,1,3,9,30,1.1,57.84,-6.300000000000001,3.9000000000000004,99
2013,1,3,10,30,3,51.050000000000004,-6.1000000000000005,4.5,184
2013,1,3,11,30,4.3,45.89,-6.300000000000001,4.4,273
2013,1,3,12,30,5.300000000000001,42.15,-6.5,4.2,180
2013,1,3,13,30,5.6000000000000005,40.15,-6.9,4.1000000000000005,164
2013,1,3,14,30,5.300000000000001,40.550000000000004,-7,3.6,164
2013,1,3,15,30,4.6000000000000005,44.12,-6.6000000000000005,3.1,151
2013,1,3,16,30,3.3000000000000003,50.480000000000004,-6,2.3000000000000003,148
2013,1,3,17,30,1.9000000000000001,58.68,-5.300000000000001,1.8,29
2013,1,3,18,30,1.2000000000000002,61.86,-5.300000000000001,1.5,0
2013,1,3,19,30,0.8,64.13,-5.2,1.1,0
2013,1,3,20,30,0.5,66.49,-5,1,0
2013,1,3,21,30,0.1,68.62,-5,0.8,0
2013,1,3,22,30,-0.30000000000000004,72.11,-4.7,0.7000000000000001,0
2013,1,3,23,30,-0.5,75.48,-4.3,0.8,0
2013,1,4,0,30,-0.9,79.61,-4,0.7000000000000001,0
2013,1,4,1,30,-1.3,83.93,-3.7,0.5,0
2013,1,4,2,30,-1.6,86.91,-3.5,0.6000000000000001,0
2013,1,4,3,30,-2.1,90.44,-3.5,0.7000000000000001,0
2013,1,4,4,30,-2.6,93.22,-3.5,0.8,0
2013,1,4,5,30,-2.8000000000000003,93.88,-3.6,0.8,0
2013,1,4,6,30,-2.9000000000000004,94.22,-3.7,0.7000000000000001,0
2013,1,4,7,30,-2.2,89.31,-3.7,1.1,0
2013,1,4,8,30,-0.6000000000000001,80.95,-3.5,2,89
2013,1,4,9,30,0.8,73.62,-3.4000000000000004,2.7,39
2013,1,4,10,30,1.7000000000000002,68.23,-3.5,2.8000000000000003,94
2013,1,4,11,30,2.6,64.05,-3.5,2.7,172
2013,1,4,12,30,3.3000000000000003,61.01,-3.5,2.6,201
2013,1,4,13,30,3.8000000000000003,58.96,-3.5,2.4000000000000004,219
2013,1,4,14,30,3.9000000000000004,58.7,-3.5,2.3000000000000003,65
2013,1,4,15,30,3.7,59.910000000000004,-3.4000000000000004,2.2,80
2013,1,4,16,30,2.8000000000000003,64.28,-3.3000000000000003,1.7000000000000002,57
2013,1,4,17,30,1.3,72.68,-3.1,1.1,21
2013,1,4,18,30,0.1,79.59,-3,1,0
2013,1,4,19,30,-0.7000000000000001,85.12,-2.9000000000000004,1.1,0
2013,1,4,20,30,-1.7000000000000002,91.96000000000001,-2.8000000000000003,1.4000000000000001,0
2013,1,4,21,30,-2.4000000000000004,97.02,-2.8000000000000003,1.6,0
2013,1,4,22,30,-2.8000000000000003,100,-2.8000000000000003,2,0
2013,1,4,23,30,-3.1,100,-3.1,2.4000000000000004,0
2013,1,5,0,30,-3,100,-3,3,0
2013,1,5,1,30,-2.7,100,-2.7,3.7,0
2013,1,5,2,30,-2.6,97.72,-2.9000000000000004,3.9000000000000004,0
2013,1,5,3,30,-2.7,96.89,-3.1,3.8000000000000003,0
2013,1,5,4,30,-2.9000000000000004,96.95,-3.3000000000000003,3.7,0
2013,1,5,5,30,-3,97.17,-3.4000000000000004,3.6,0
2013,1,5,6,30,-3.3000000000000003,97.2,-3.7,3.6,0
2013,1,5,7,30,-3.1,94.59,-3.8000000000000003,3.9000000000000004,0
2013,1,5,8,30,-1.6,83.58,-4,4.4,99
2013,1,5,9,30,1.3,67.97,-4,4.5,295
2013,1,5,10,30,4.6000000000000005,52.86,-4.2,4.5,468
2013,1,5,11,30,7.800000000000001,39.4,-5.2,4.5,591
2013,1,5,12,30,10.200000000000001,28.34,-7.4,4.3,652
2013,1,5,13,30,11.600000000000001,23.76,-8.4,3.9000000000000004,645
2013,1,5,14,30,12.200000000000001,22.46,-8.700000000000001,3.5,570
2013,1,5,15,30,11.700000000000001,23.330000000000002,-8.6,2.7,436
2013,1,5,16,30,9,33.79,-6.1000000000000005,1.7000000000000002,257
2013,1,5,17,30,5.800000000000001,46.35,-4.800000000000001,1.4000000000000001,64
2013,1,5,18,30,4.3,43.33,-7.1000000000000005,1.5,0
2013,1,5,19,30,3,46.49,-7.4,1.5,0
2013,1,5,20,30,1.8,49.74,-7.6000000000000005,1.6,0
2013,1,5,21,30,0.8,52.370000000000005,-7.9,1.8,0
2013,1,5,22,30,-0.1,54.6,-8.200000000000001,2.1,0
2013,1,5,23,30,-0.8,56.06,-8.5,2.3000000000000003,0
2013,1,6,0,30,-1.5,57.59,-8.8,2.4000000000000004,0
2013,1,6,1,30,-2.2,59.42,-9,2.4000000000000004,0
2013,1,6,2,30,-2.9000000000000004,61.690000000000005,-9.200000000000001,2.3000000000000003,0
2013,1,6,3,30,-3.5,64.43,-9.200000000000001,2.2,0
2013,1,6,4,30,-3.9000000000000004,67.31,-9.1,2.2,0
2013,1,6,5,30,-4.1000000000000005,70.22,-8.700000000000001,2.2,0
2013,1,6,6,30,-4.3,74.23,-8.200000000000001,2.2,0
2013,1,6,7,30,-3.4000000000000004,72.57000000000001,-7.6000000000000005,2.6,0
2013,1,6,8,30,-1.1,64.54,-6.9,2.9000000000000004,100
2013,1,6,9,30,2.1,54.4,-6.2,2.4000000000000004,295
2013,1,6,10,30,5.4,44.63,-5.7,1.8,468
2013,1,6,11,30,7.9,37.49,-5.7,1.5,592
2013,1,6,12,30,9.9,30.6,-6.6000000000000005,1.4000000000000001,654
2013,1,6,13,30,11,26.82,-7.4,1.4000000000000001,647
2013,1,6,14,30,11.3,26.18,-7.4,1.5,573
