Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,447515,-,-,-,31.77,-106.5,-7,1264,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Wind Speed,Relative Humidity
2014,1,1,0,30,2.3000000000000003,-7.6000000000000005,0,1.3,48.06
2014,1,1,1,30,1.3,-7.4,0,1.4000000000000001,52.32
2014,1,1,2,30,0.5,-7.300000000000001,0,1.4000000000000001,56.04
2014,1,1,3,30,-0.1,-7.2,0,1.5,58.72
2014,1,1,4,30,-0.6000000000000001,-7.300000000000001,0,1.5,60.65
2014,1,1,5,30,-0.9,-7.300000000000001,0,1.5,61.76
2014,1,1,6,30,-0.7000000000000001,-7.300000000000001,0,1.5,61.01
2014,1,1,7,30,1.7000000000000002,-7.1000000000000005,49,1.9000000000000001,52.11
2014,1,1,8,30,4.9,-6.5,235,2.4000000000000004,43.44
2014,1,1,9,30,8,-6.300000000000001,416,2.8000000000000003,35.62
2014,1,1,10,30,11.3,-6.2,552,3.5,28.79
2014,1,1,11,30,13.8,-6.300000000000001,629,4,24.240000000000002
2014,1,1,12,30,15.100000000000001,-6.4,641,4,22.16
2014,1,1,13,30,15.600000000000001,-6.2,584,3.5,21.740000000000002
2014,1,1,14,30,15.5,-5.9,466,3.1,22.38
2014,1,1,15,30,13.3,-5.1000000000000005,299,2.1,27.55
2014,1,1,16,30,10.600000000000001,-2.9000000000000004,107,1.4000000000000001,38.77
2014,1,1,17,30,9.5,-4.9,0,1.3,35.75
2014,1,1,18,30,9,-5.300000000000001,0,1.3,36.1
2014,1,1,19,30,7.9,-5.300000000000001,0,1.4000000000000001,38.63
2014,1,1,20,30,6.300000000000001,-5.4,0,1.6,42.94
2014,1,1,21,30,4.800000000000001,-5.5,0,1.8,47.31
2014,1,1,22,30,3.3000000000000003,-5.6000000000000005,0,2,52.11
2014,1,1,23,30,2.2,-5.800000000000001,0,2.3000000000000003,55.44
2014,1,2,0,30,1.4000000000000001,-6,0,3,58.07
2014,1,2,1,30,0.8,-5.7,0,3.4000000000000004,61.88
2014,1,2,2,30,0,-4.7,0,3.4000000000000004,70.56
2014,1,2,3,30,-0.8,-3.4000000000000004,0,3.1,82.39
2014,1,2,4,30,-1.5,-2.6,0,2.8000000000000003,92.53
2014,1,2,5,30,-2.1,-2.2,0,2.5,99.23
2014,1,2,6,30,-2,-2.1,0,2.3000000000000003,98.99000000000001
2014,1,2,7,30,0,-2.3000000000000003,50,3.2,84.75
2014,1,2,8,30,3.1,-2.7,239,4.2,65.74
2014,1,2,9,30,5.9,-4.1000000000000005,420,4.3,48.77
2014,1,2,10,30,8.3,-4.7,557,3.9000000000000004,39.4
2014,1,2,11,30,10.200000000000001,-4.9,634,3.5,34.230000000000004
2014,1,2,12,30,11.5,-4.9,646,3.1,31.48
2014,1,2,13,30,12.3,-4.9,590,2.9000000000000004,29.78
2014,1,2,14,30,12.4,-5.1000000000000005,477,2.7,29.19
2014,1,2,15,30,10.700000000000001,-5.1000000000000005,308,1.9000000000000001,32.55
2014,1,2,16,30,7.7,-3.6,112,1.3,44.76
2014,1,2,17,30,5.6000000000000005,-5,0,1.5,46.26
2014,1,2,18,30,4.5,-5.300000000000001,0,1.6,48.910000000000004
2014,1,2,19,30,3.5,-5.5,0,1.7000000000000002,51.65
2014,1,2,20,30,2.6,-5.7,0,1.7000000000000002,54.45
2014,1,2,21,30,1.7000000000000002,-5.800000000000001,0,1.8,57.69
2014,1,2,22,30,0.9,-5.800000000000001,0,1.8,60.82
2014,1,2,23,30,0.1,-5.9,0,1.8,64.24
2014,1,3,0,30,-0.5,-5.9,0,1.8,66.92
2014,1,3,1,30,-1.1,-5.9,0,1.7000000000000002,69.89
2014,1,3,2,30,-1.5,-5.9,0,1.6,72.11
2014,1,3,3,30,-1.7000000000000002,-5.800000000000001,0,1.5,73.32000000000001
2014,1,3,4,30,-1.9000000000000001,-5.800000000000001,0,1.5,74.65
2014,1,3,5,30,-2,-5.800000000000001,0,1.4000000000000001,75.46000000000001
2014,1,3,6,30,-1.5,-5.7,0,1.4000000000000001,73.08
2014,1,3,7,30,0.7000000000000001,-5.5,50,2.1,62.97
2014,1,3,8,30,3.9000000000000004,-5.1000000000000005,237,2.6,51.69
2014,1,3,9,30,6.800000000000001,-4.4,418,2.4000000000000004,44.62
2014,1,3,10,30,9.600000000000001,-3.3000000000000003,555,2.2,40.2
2014,1,3,11,30,11.8,-2.6,632,2.2,36.45
2014,1,3,12,30,13.200000000000001,-2.3000000000000003,645,2.6,33.99
2014,1,3,13,30,14,-2.2,590,3.1,32.480000000000004
2014,1,3,14,30,13.9,-2.3000000000000003,473,3.2,32.49
2014,1,3,15,30,12.200000000000001,-2.4000000000000004,305,2.2,36.160000000000004
2014,1,3,16,30,9.600000000000001,-1.4000000000000001,112,1.3,46.050000000000004
2014,1,3,17,30,8.5,-2.8000000000000003,0,1.2000000000000002,44.82
2014,1,3,18,30,7.9,-3.2,0,1.2000000000000002,45.33
2014,1,3,19,30,6.800000000000001,-3.4000000000000004,0,1.4000000000000001,48.09
2014,1,3,20,30,5.6000000000000005,-3.7,0,1.6,51.36
2014,1,3,21,30,4.5,-3.9000000000000004,0,1.7000000000000002,54.59
2014,1,3,22,30,3.7,-4.1000000000000005,0,1.8,56.870000000000005
2014,1,3,23,30,3.1,-4.2,0,2,58.69
2014,1,4,0,30,2.6,-4.3,0,2,60.59
2014,1,4,1,30,2.2,-4.2,0,2,62.57
2014,1,4,2,30,1.9000000000000001,-4.1000000000000005,0,2,64.32000000000001
2014,1,4,3,30,1.7000000000000002,-4,0,2,65.69
2014,1,4,4,30,1.6,-4,0,2.1,66.56
2014,1,4,5,30,1.8,-3.8000000000000003,0,2.1,66.22
2014,1,4,6,30,2.5,-3.6,0,2.1,63.9
2014,1,4,7,30,4.7,-3.3000000000000003,24,2.8000000000000003,56.21
2014,1,4,8,30,7.2,-2.7,126,3.7,49.46
2014,1,4,9,30,9.200000000000001,-2.2,226,4,44.67
2014,1,4,10,30,11.4,-1.6,379,4.5,40.4
2014,1,4,11,30,13.600000000000001,-1.2000000000000002,460,5.7,36.13
2014,1,4,12,30,15,-1.5,130,6.7,32.17
2014,1,4,13,30,15.700000000000001,-2.4000000000000004,440,7.2,28.82
2014,1,4,14,30,15.700000000000001,-3.2,335,6.9,27.13
2014,1,4,15,30,14.700000000000001,-3.6,197,6,28.17
2014,1,4,16,30,12.8,-3.7,75,5.300000000000001,31.59
2014,1,4,17,30,11.4,-3.8000000000000003,0,5.1000000000000005,34.4
2014,1,4,18,30,10.5,-3.7,0,4.800000000000001,36.76
2014,1,4,19,30,9.4,-3.5,0,4.3,40.1
2014,1,4,20,30,8.200000000000001,-3.3000000000000003,0,3.9000000000000004,44.01
2014,1,4,21,30,7.1000000000000005,-3.2,0,3.6,47.83
2014,1,4,22,30,6.1000000000000005,-3.2,0,3.4000000000000004,51.31
2014,1,4,23,30,5.1000000000000005,-3.2,0,3,54.870000000000005
2014,1,5,0,30,3.9000000000000004,-3.5,0,2.7,58.33
2014,1,5,1,30,2.6,-4.5,0,2.5,59.44
2014,1,5,2,30,1.6,-6.2,0,2.4000000000000004,56.15
2014,1,5,3,30,0.6000000000000001,-8.4,0,2.1,51.07
2014,1,5,4,30,-0.30000000000000004,-10.3,0,1.8,46.69
2014,1,5,5,30,-1.1,-11.5,0,1.6,45.07
2014,1,5,6,30,-1.2000000000000002,-12.100000000000001,0,1.5,43.42
2014,1,5,7,30,0.5,-11.9,33,2.1,39.03
2014,1,5,8,30,3.3000000000000003,-12.4,172,3.1,30.5
2014,1,5,9,30,5.7,-15,293,3.5,21.03
2014,1,5,10,30,7.300000000000001,-16.7,411,3.5,16.27
2014,1,5,11,30,8.4,-17.2,482,3.4000000000000004,14.450000000000001
2014,1,5,12,30,9,-17.3,546,3.4000000000000004,13.8
2014,1,5,13,30,9.1,-17.2,482,3.5,13.85
2014,1,5,14,30,8.8,-17,362,3.1,14.38
2014,1,5,15,30,7.300000000000001,-16.6,221,1.9000000000000001,16.490000000000002
2014,1,5,16,30,4.800000000000001,-11.5,75,1.1,29.64
2014,1,5,17,30,3,-12.200000000000001,0,1.1,31.69
2014,1,5,18,30,2,-12.700000000000001,0,1.2000000000000002,32.68
2014,1,5,19,30,1.2000000000000002,-13.100000000000001,0,1.4000000000000001,33.58
2014,1,5,20,30,0.4,-13.4,0,1.5,34.71
2014,1,5,21,30,-0.30000000000000004,-13.600000000000001,0,1.6,36.01
2014,1,5,22,30,-1,-13.700000000000001,0,1.7000000000000002,37.38
2014,1,5,23,30,-1.6,-13.9,0,1.8,38.5
2014,1,6,0,30,-2.4000000000000004,-14.100000000000001,0,1.9000000000000001,40.230000000000004
2014,1,6,1,30,-3.2,-14.3,0,1.8,42.01
2014,1,6,2,30,-3.8000000000000003,-14.4,0,1.9000000000000001,43.5
2014,1,6,3,30,-4.2,-14.3,0,2,45.18
2014,1,6,4,30,-4.4,-13.9,0,2.2,47.35
2014,1,6,5,30,-4.7,-13.3,0,2.5,51.11
2014,1,6,6,30,-4.5,-12.600000000000001,0,3.2,53.39
2014,1,6,7,30,-3.1,-12,53,4.1000000000000005,50.33
2014,1,6,8,30,-0.8,-11.9,246,4.5,42.63
2014,1,6,9,30,1.5,-12.3,431,4,35.17
2014,1,6,10,30,3.7,-13.200000000000001,573,3.3000000000000003,27.91
2014,1,6,11,30,5.300000000000001,-14.5,655,2.8000000000000003,22.35
2014,1,6,12,30,6.4,-15.5,669,2.5,19.21
2014,1,6,13,30,7,-15.8,614,2.4000000000000004,17.86
2014,1,6,14,30,7,-15.9,495,2.3000000000000003,17.75
2014,1,6,15,30,5.7,-15.700000000000001,325,1.7000000000000002,19.71
2014,1,6,16,30,2.7,-11.700000000000001,126,1.3,33.7
2014,1,6,17,30,0.2,-12.8,0,1.5,37.11
2014,1,6,18,30,-0.8,-13.100000000000001,0,1.8,38.84
2014,1,6,19,30,-1.4000000000000001,-13.100000000000001,0,2.1,40.51
2014,1,6,20,30,-2.1,-12.9,0,2.4000000000000004,43.45
2014,1,6,21,30,-2.8000000000000003,-12.600000000000001,0,2.4000000000000004,46.95
2014,1,6,22,30,-3.6,-12.200000000000001,0,2.2,51.27
2014,1,6,23,30,-4.2,-11.9,0,2,55.02
2014,1,7,0,30,-4.5,-11.600000000000001,0,1.9000000000000001,57.42
2014,1,7,1,30,-4.7,-11.4,0,1.8,59.4
2014,1,7,2,30,-4.800000000000001,-11.200000000000001,0,1.8,60.88
2014,1,7,3,30,-4.800000000000001,-11,0,1.6,61.730000000000004
2014,1,7,4,30,-4.9,-10.9,0,1.5,62.75
2014,1,7,5,30,-4.800000000000001,-10.9,0,1.3,62.58
