Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,694093,-,-,-,31.53,-97.14,-6,143,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity,Wind Speed,Dew Point
2014,1,1,0,30,1.5,0,97.94,2,1.2000000000000002
2014,1,1,1,30,1.1,0,100,2,1.1
2014,1,1,2,30,0.9,0,100,2,0.9
2014,1,1,3,30,0.7000000000000001,0,100,2.1,0.7000000000000001
2014,1,1,4,30,0.6000000000000001,0,100,2.1,0.6000000000000001
2014,1,1,5,30,0.7000000000000001,0,99.53,2.1,0.6000000000000001
2014,1,1,6,30,0.8,0,98.12,2.3000000000000003,0.5
2014,1,1,7,30,2,0,89.87,3.1,0.5
2014,1,1,8,30,4.6000000000000005,153,77.03,3.7,0.9
2014,1,1,9,30,8.200000000000001,332,64.3,4.1000000000000005,1.9000000000000001
2014,1,1,10,30,12,481,55.03,5,3.2
2014,1,1,11,30,15.100000000000001,578,52.660000000000004,5.7,5.5
2014,1,1,12,30,17.2,613,53.52,6.300000000000001,7.7
2014,1,1,13,30,18.400000000000002,585,54.72,6.4,9.1
2014,1,1,14,30,18.8,492,56.43,6.1000000000000005,10
2014,1,1,15,30,18,348,61.46,5.4,10.5
2014,1,1,16,30,15.9,169,71.8,4.4,10.8
2014,1,1,17,30,13.600000000000001,0,82.2,3.9000000000000004,10.600000000000001
2014,1,1,18,30,12.200000000000001,0,88.76,3.5,10.4
2014,1,1,19,30,10.8,0,96.11,2.8000000000000003,10.200000000000001
2014,1,1,20,30,9.4,0,100,2.3000000000000003,9.4
2014,1,1,21,30,8.4,0,100,3.2,8.4
2014,1,1,22,30,6.800000000000001,0,92.95,5.2,5.7
2014,1,1,23,30,4.3,0,80.59,6.4,1.3
2014,1,2,0,30,2,0,72.78,6.7,-2.4000000000000004
2014,1,2,1,30,0.2,0,69.86,6.7,-4.7
2014,1,2,2,30,-1,0,68.39,6.6000000000000005,-6.1000000000000005
2014,1,2,3,30,-1.8,0,69.46000000000001,6.6000000000000005,-6.7
2014,1,2,4,30,-2.5,0,71.12,6.5,-7
2014,1,2,5,30,-3.2,0,72.43,6.2,-7.5
2014,1,2,6,30,-3.8000000000000003,0,73.15,5.800000000000001,-7.9
2014,1,2,7,30,-3.7,0,70.65,5.7,-8.3
2014,1,2,8,30,-2.3000000000000003,167,62.85,5.800000000000001,-8.4
2014,1,2,9,30,-0.2,358,54.81,5.7,-8.200000000000001
2014,1,2,10,30,1.9000000000000001,509,49.370000000000005,5.5,-7.6000000000000005
2014,1,2,11,30,3.9000000000000004,609,44.95,5.300000000000001,-7
2014,1,2,12,30,5.4,647,42.22,4.9,-6.4
2014,1,2,13,30,6.5,616,40.63,4.6000000000000005,-5.9
2014,1,2,14,30,7,521,40.38,4.3,-5.6000000000000005
2014,1,2,15,30,6.6000000000000005,368,42.61,3.6,-5.2
2014,1,2,16,30,4.2,182,53.730000000000004,2.2,-4.4
2014,1,2,17,30,1.5,0,74.56,1.4000000000000001,-2.5
2014,1,2,18,30,0.4,0,76.77,1.4000000000000001,-3.2
2014,1,2,19,30,-0.1,0,76.89,1.3,-3.7
2014,1,2,20,30,-0.5,0,76.26,1.2000000000000002,-4.2
2014,1,2,21,30,-0.9,0,75.66,1.2000000000000002,-4.7
2014,1,2,22,30,-1.4000000000000001,0,75.94,1.2000000000000002,-5.1000000000000005
2014,1,2,23,30,-1.9000000000000001,0,76.68,1.2000000000000002,-5.5
2014,1,3,0,30,-2.3000000000000003,0,77.22,1.2000000000000002,-5.7
2014,1,3,1,30,-2.6,0,77.59,1.2000000000000002,-6
2014,1,3,2,30,-2.9000000000000004,0,78.49,1.1,-6.1000000000000005
2014,1,3,3,30,-3.1,0,79.44,1.1,-6.2
2014,1,3,4,30,-3.4000000000000004,0,81.22,1.1,-6.2
2014,1,3,5,30,-3.7,0,83.2,1.2000000000000002,-6.1000000000000005
2014,1,3,6,30,-3.7,0,83.3,1.2000000000000002,-6.1000000000000005
2014,1,3,7,30,-2.3000000000000003,0,76.26,2,-5.9
2014,1,3,8,30,0.4,165,64.77,2.7,-5.5
2014,1,3,9,30,3.4000000000000004,353,55.49,3.4000000000000004,-4.7
2014,1,3,10,30,6.2,508,43.1,4,-5.4
2014,1,3,11,30,8.1,610,38.17,4.1000000000000005,-5.300000000000001
2014,1,3,12,30,9.5,649,35.87,4.3,-4.9
2014,1,3,13,30,10.4,619,34.72,4.5,-4.5
2014,1,3,14,30,10.700000000000001,524,34.94,4.4,-4.2
2014,1,3,15,30,10,373,37.76,3.8000000000000003,-3.8000000000000003
2014,1,3,16,30,7.2,186,50.800000000000004,2.7,-2.3000000000000003
2014,1,3,17,30,4.6000000000000005,16,66.09,2.5,-1.2000000000000002
2014,1,3,18,30,4,0,68.42,3,-1.3
2014,1,3,19,30,3.7,0,70.57000000000001,3.4000000000000004,-1.2000000000000002
2014,1,3,20,30,3.1,0,74.55,3.7,-1
2014,1,3,21,30,2.5,0,78.74,3.9000000000000004,-0.8
2014,1,3,22,30,1.9000000000000001,0,82.84,3.9000000000000004,-0.7000000000000001
2014,1,3,23,30,1.4000000000000001,0,86.60000000000001,3.9000000000000004,-0.6000000000000001
2014,1,4,0,30,1.1,0,90.05,3.8000000000000003,-0.30000000000000004
2014,1,4,1,30,0.9,0,94.62,3.8000000000000003,0.1
2014,1,4,2,30,1.1,0,96.48,4,0.6000000000000001
2014,1,4,3,30,1.5,0,96.4,4,1
2014,1,4,4,30,2,0,95.01,3.8000000000000003,1.3
2014,1,4,5,30,2.6,0,94.55,3.7,1.8
2014,1,4,6,30,3.2,0,95.02,3.6,2.5
2014,1,4,7,30,3.9000000000000004,0,93.9,3.8000000000000003,3
2014,1,4,8,30,5,147,90.55,4.1000000000000005,3.6
2014,1,4,9,30,7,328,84.46000000000001,4.800000000000001,4.6000000000000005
2014,1,4,10,30,10.3,481,75.26,5.7,6.1000000000000005
2014,1,4,11,30,14.3,582,65.55,6.7,7.9
2014,1,4,12,30,17.400000000000002,623,59.56,7.2,9.4
2014,1,4,13,30,18.900000000000002,593,55.81,6.9,9.9
2014,1,4,14,30,19.3,499,55.02,6.4,10
2014,1,4,15,30,18.400000000000002,354,59.25,5.6000000000000005,10.3
2014,1,4,16,30,16.400000000000002,135,69.02,4.7,10.700000000000001
2014,1,4,17,30,14.9,8,75.97,4.5,10.700000000000001
2014,1,4,18,30,14.4,0,78.97,4.7,10.8
2014,1,4,19,30,14,0,81.79,4.800000000000001,10.9
2014,1,4,20,30,13.5,0,85.5,4.6000000000000005,11.100000000000001
2014,1,4,21,30,12.8,0,91.05,4.3,11.4
2014,1,4,22,30,12.200000000000001,0,96.53,3.8000000000000003,11.700000000000001
2014,1,4,23,30,11.5,0,100,3.2,11.5
2014,1,5,0,30,10.8,0,100,2.3000000000000003,10.8
2014,1,5,1,30,10.200000000000001,0,100,2,10.200000000000001
2014,1,5,2,30,9.200000000000001,0,100,3.1,9.200000000000001
2014,1,5,3,30,6.7,0,100,4.9,6.7
2014,1,5,4,30,3.6,0,86.42,6.1000000000000005,1.5
2014,1,5,5,30,1.4000000000000001,0,71.95,6.5,-3.1
2014,1,5,6,30,0.2,0,69.41,6.6000000000000005,-4.7
2014,1,5,7,30,-0.30000000000000004,0,67.05,7,-5.7
2014,1,5,8,30,0.1,121,60.85,7.4,-6.6000000000000005
2014,1,5,9,30,1.3,253,53.7,7.6000000000000005,-7.1000000000000005
