Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,702800,-,-,-,32.77,-96.78,-6,148,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,Dew Point,Relative Humidity,Wind Speed
2012,1,1,0,30,8.3,0,1,60.19,6.300000000000001
2012,1,1,1,30,6.9,0,0.6000000000000001,64.08,5.7
2012,1,1,2,30,5.9,0,0.7000000000000001,69.04,5
2012,1,1,3,30,5,0,0.7000000000000001,73.87,4.2
2012,1,1,4,30,4,0,0.7000000000000001,79.18,3.4000000000000004
2012,1,1,5,30,3.2,0,0.6000000000000001,83.09,2.9000000000000004
2012,1,1,6,30,2.6,0,0.4,85.23,2.7
2012,1,1,7,30,3.5,0,0.1,78.67,3.1
2012,1,1,8,30,6,157,0.30000000000000004,66.84,3.8000000000000003
2012,1,1,9,30,8.700000000000001,340,0.1,54.79,4.4
2012,1,1,10,30,10.8,491,-0.5,45.68,4.6000000000000005
2012,1,1,11,30,12.200000000000001,588,-0.5,41.53,4.2
2012,1,1,12,30,13.200000000000001,617,-0.5,39.02,4.1000000000000005
2012,1,1,13,30,13.700000000000001,585,-0.6000000000000001,37.43,4.1000000000000005
2012,1,1,14,30,13.600000000000001,490,-0.7000000000000001,37.31,4.1000000000000005
2012,1,1,15,30,12.5,341,-0.9,39.69,3.4000000000000004
2012,1,1,16,30,9.5,161,0.7000000000000001,54.29,2.4000000000000004
2012,1,1,17,30,6.9,0,1.5,68.61,2.1
2012,1,1,18,30,6,0,0.9,70.04,2.2
2012,1,1,19,30,5.300000000000001,0,0.6000000000000001,71.82000000000001,2.3000000000000003
2012,1,1,20,30,4.7,0,0.4,73.47,2.5
